,applicant_id,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Has_been_employed_for_at_least,Has_been_employed_for_at_most,Foreign_worker,Savings_account_balance,loan_application_id,Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Other_EMI_plans,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant
22,1771414,48,male,single,2,rent,3,unskilled - resident,0 year,1 year,0,Low,d68da44c-edad-11ea-811d-450f33c8849a,10,new vehicle,2241000,1,real estate,0,0,bank,2,critical/pending loans at other banks,0
23,1666563,44,male,single,1,own,4,skilled employee / official,0 year,1 year,1,Medium,d68da4d8-edad-11ea-94e4-4ae3123f6e41,12,used vehicle,1804000,3,building society savings agreement/life insurance,0,0,bank,1,critical/pending loans at other banks,0
24,1847764,26,male,divorced,1,own,1,skilled employee / official,1 year,4 years,0,Low,d68da55a-edad-11ea-9086-556c75abdef8,10,FF&E,2069000,2,car or other,0,0,bank,2,critical/pending loans at other banks,0
25,1138996,36,male,single,1,own,2,unskilled - resident,1 year,4 years,1,Low,d68da5e6-edad-11ea-8848-094539bb32c1,6,FF&E,1374000,1,real estate,0,0,bank,1,existing loans paid back duly till now,0
26,1578742,39,male,divorced,1,own,4,unskilled - resident,7 years,4 years,1,Low,d68da668-edad-11ea-a7ca-0e54ef05530b,6,electronic equipment,426000,4,car or other,0,0,bank,1,no loans taken/all loans paid back duly,0
27,1709277,42,female,divorced,1,rent,3,skilled employee / official,1 year,4 years,1,High,d68da6f4-edad-11ea-8727-0a9a99b06aa8,12,electronic equipment,409000,3,real estate,0,0,bank,2,all loans at this bank paid back duly,0
28,1508823,34,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68da780-edad-11ea-ae82-22389d1f21e1,7,electronic equipment,2415000,3,real estate,0,1,bank,1,existing loans paid back duly till now,0
29,1323870,63,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,d68da802-edad-11ea-8fb1-430f7bd15180,60,business,6836000,3,car or other,0,0,bank,2,delay in paying off loans in the past,1
30,1414851,36,male,divorced,1,own,3,skilled employee / official,0 year,1 year,1,High,d68da88e-edad-11ea-911c-45363b9e71a7,18,business,1913000,3,real estate,0,0,bank,1,existing loans paid back duly till now,0
31,1764281,27,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68da91a-edad-11ea-806b-1b4fff89cf12,24,FF&E,4020000,2,car or other,0,0,stores,1,existing loans paid back duly till now,0
32,1291798,30,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Medium,d68da9a6-edad-11ea-ad7d-22ccbf1337b7,18,new vehicle,5866000,2,car or other,0,0,bank,2,existing loans paid back duly till now,0
33,1873969,57,male,single,1,rent,4,unskilled - resident,7 years,4 years,1,Low,d68daa28-edad-11ea-b015-2fab913db9fd,12,business,1264000,4,car or other,0,0,bank,1,critical/pending loans at other banks,0
34,1888210,33,female,divorced,1,own,1,management / self-employed / highly qualified employee / officer,0 year,1 year,1,Low,d68daab4-edad-11ea-90d0-54e9c6dd56d7,12,FF&E,1474000,4,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
35,1547494,25,male,single,1,own,2,unskilled - resident,0 year,1 year,1,Low,d68dab40-edad-11ea-9d66-1d40dd84d34f,45,electronic equipment,4746000,4,building society savings agreement/life insurance,0,0,bank,2,critical/pending loans at other banks,1
36,1674114,31,male,single,1,own,3,skilled employee / official,1 year,4 years,1,Low,d68dabcc-edad-11ea-acee-2f4a3741fda0,48,education,6110000,1,car or other,0,0,bank,1,critical/pending loans at other banks,0
37,1330233,37,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68dac58-edad-11ea-b429-50d02dad5c98,18,electronic equipment,2100000,4,real estate,1,0,stores,1,existing loans paid back duly till now,1
38,1443666,37,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68dace4-edad-11ea-abc1-47fea893dfc1,10,domestic appliances,1225000,2,car or other,0,0,bank,1,existing loans paid back duly till now,0
39,1574283,24,male,single,1,own,3,skilled employee / official,1 year,4 years,1,Low,d68dad66-edad-11ea-8dab-1e18a4ca4033,9,electronic equipment,458000,4,real estate,0,0,bank,1,existing loans paid back duly till now,0
40,1866940,30,male,single,1,own,2,management / self-employed / highly qualified employee / officer,7 years,4 years,1,High,d68dadf2-edad-11ea-9f2f-1b809b7f2469,30,electronic equipment,2333000,4,car or other,0,0,bank,1,existing loans paid back duly till now,0
41,1188917,26,male,divorced,1,own,1,skilled employee / official,1 year,4 years,1,High,d68dae74-edad-11ea-9dc4-548e2abf51a3,12,electronic equipment,1158000,3,car or other,0,0,bank,1,existing loans paid back duly till now,0
42,1491485,44,male,single,2,own,4,unskilled - resident,1 year,4 years,1,Low,d68daf00-edad-11ea-b3c5-3a9c59258abf,18,repair costs,6204000,2,real estate,0,0,bank,1,delay in paying off loans in the past,0
43,1381317,24,male,divorced,1,rent,4,skilled employee / official,4 years,7 years,1,Medium,d68daf8c-edad-11ea-9727-31a09ae7367c,30,used vehicle,6187000,1,car or other,0,0,bank,2,critical/pending loans at other banks,0
44,1246402,58,female,divorced,1,own,4,unskilled - resident,7 years,4 years,1,Low,d68db00e-edad-11ea-86d2-0e15c47e1391,48,used vehicle,6143000,4,car or other,0,0,stores,2,critical/pending loans at other banks,1
45,1641291,35,female,divorced,1,own,4,management / self-employed / highly qualified employee / officer,0 year,1 year,1,Low,d68db09a-edad-11ea-a4a6-033044c9ec7b,11,new vehicle,1393000,4,car or other,0,0,bank,2,critical/pending loans at other banks,0
46,1716706,39,male,single,1,own,4,skilled employee / official,7 years,4 years,1,High,d68db126-edad-11ea-bfe0-17fd1764daff,36,electronic equipment,2299000,4,car or other,0,0,bank,1,existing loans paid back duly till now,0
47,1395153,23,female,divorced,1,rent,2,unemployed / unskilled - non-resident,1 year,0 year,1,High,d68db1b2-edad-11ea-a3cf-58ed274b7f95,6,used vehicle,1352000,1,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
48,1697859,39,male,single,1,own,4,unskilled - resident,1 year,4 years,1,Low,d68db234-edad-11ea-bfd7-0ee1e3d95b7b,11,new vehicle,7228000,1,building society savings agreement/life insurance,0,0,bank,2,critical/pending loans at other banks,0
49,1193227,28,female,divorced,1,own,2,skilled employee / official,1 year,4 years,1,Medium,d68db2c0-edad-11ea-b4e4-05b1f0a92868,12,electronic equipment,2073000,4,real estate,1,0,bank,1,existing loans paid back duly till now,0
50,1850736,29,male,single,1,own,2,unskilled - resident,0 year,1 year,1,Low,d68db34c-edad-11ea-b740-210ea10c8712,24,FF&E,2333000,4,building society savings agreement/life insurance,0,0,bank,1,delay in paying off loans in the past,0
51,1771270,30,male,single,1,own,2,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,d68db3ce-edad-11ea-84bd-4e67b5f9936f,27,used vehicle,5965000,1,car or other,0,0,bank,2,delay in paying off loans in the past,0
52,1840431,25,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68db45a-edad-11ea-b49c-1d832f4dbd57,12,electronic equipment,1262000,3,car or other,0,0,bank,1,existing loans paid back duly till now,0
53,1502325,31,male,single,1,own,1,skilled employee / official,1 year,4 years,1,Low,d68db4e6-edad-11ea-93eb-2f95b3348c4f,18,used vehicle,3378000,2,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
54,1151072,57,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,d68db568-edad-11ea-861a-147ac6c14a8a,36,new vehicle,2225000,4,car or other,0,0,bank,2,delay in paying off loans in the past,1
55,1875288,26,male,single,2,own,2,unskilled - resident,1 year,4 years,1,Low,d68db5f4-edad-11ea-bb4b-54d27ddacc3f,6,new vehicle,783000,1,real estate,0,1,stores,1,all loans at this bank paid back duly,0
56,1361963,52,male,single,1,own,1,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,d68db676-edad-11ea-9236-15f36db5c93c,12,electronic equipment,6468000,2,car or other,0,0,bank,1,existing loans paid back duly till now,1
57,1599723,31,female,divorced,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68db702-edad-11ea-a2a0-3749d1a32a81,36,electronic equipment,9566000,2,car or other,0,0,stores,2,critical/pending loans at other banks,0
58,1438784,23,female,divorced,1,own,2,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,d68db78e-edad-11ea-8929-11abd2d70a99,18,new vehicle,1961000,3,car or other,0,0,bank,1,existing loans paid back duly till now,0
59,1274604,23,female,divorced,1,rent,4,unskilled - resident,0 year,1 year,1,Low,d68db81a-edad-11ea-86b8-1f01f823167f,36,FF&E,6229000,4,car or other,1,0,bank,2,critical/pending loans at other banks,1
60,1548860,27,male,divorced,1,own,1,skilled employee / official,1 year,4 years,1,Low,d68db8a6-edad-11ea-aa20-02cf03ad2d1c,9,business,1391000,2,real estate,0,0,bank,1,existing loans paid back duly till now,0
61,1570047,50,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,d68db932-edad-11ea-8d84-23c2491ed40b,15,electronic equipment,1537000,4,real estate,0,1,bank,2,critical/pending loans at other banks,0
62,1825757,61,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,d68db9be-edad-11ea-ba32-040aa726f1e3,36,business,1953000,4,car or other,0,0,bank,1,no loans taken/all loans paid back duly,1
63,1304525,25,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68dba4a-edad-11ea-8291-1ad3a64d9e3c,48,business,14421000,2,car or other,0,0,bank,1,no loans taken/all loans paid back duly,1
64,1750074,26,female,divorced,1,own,4,skilled employee / official,0 year,1 year,1,Low,d68dbacc-edad-11ea-8b74-30c9ef13da0b,24,electronic equipment,3181000,4,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
65,1134752,48,male,single,2,own,4,skilled employee / official,7 years,4 years,1,Low,d68dbb58-edad-11ea-abdb-58a14485f385,27,repair costs,5190000,4,building society savings agreement/life insurance,0,0,bank,4,existing loans paid back duly till now,0
66,1505713,29,female,divorced,1,own,2,skilled employee / official,0 year,1 year,1,Low,d68dbbe4-edad-11ea-a81c-58a83881718d,12,electronic equipment,2171000,2,car or other,0,0,bank,1,existing loans paid back duly till now,0
67,1724003,22,male,divorced,1,own,1,skilled employee / official,1 year,4 years,1,High,d68dbc66-edad-11ea-9193-2314a7840d0c,12,new vehicle,1007000,4,real estate,0,0,bank,1,existing loans paid back duly till now,0
68,1388519,37,male,single,1,own,4,skilled employee / official,1 year,4 years,1,Low,d68dbcf2-edad-11ea-87d0-34f6e88ef196,36,education,1819000,4,car or other,0,0,stores,1,existing loans paid back duly till now,1
69,1724882,25,female,divorced,1,own,4,skilled employee / official,1 year,4 years,1,Low,d68dbd74-edad-11ea-ae01-263c4f557be7,36,electronic equipment,2394000,4,car or other,0,0,bank,1,existing loans paid back duly till now,0
70,1463336,30,female,divorced,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68dbe00-edad-11ea-99af-2b1e2d010653,36,used vehicle,8133000,1,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
71,1804919,46,male,single,1,rent,2,unskilled - resident,7 years,4 years,1,Low,d68dbe82-edad-11ea-8f4d-33d08b45f472,7,electronic equipment,730000,4,building society savings agreement/life insurance,0,0,bank,2,critical/pending loans at other banks,0
72,1591747,51,male,single,2,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,d68dbf0e-edad-11ea-a080-02b0155d9dc9,8,electronic equipment,1164000,3,car or other,0,0,bank,2,critical/pending loans at other banks,0
73,1743709,41,female,divorced,1,own,1,unskilled - resident,4 years,7 years,1,Low,d68dbfa4-edad-11ea-bd07-2daf55be0489,42,business,5954000,2,real estate,0,0,bank,2,critical/pending loans at other banks,0
74,1472593,40,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,d68dc030-edad-11ea-9980-506b879d7f8f,36,education,1977000,4,car or other,0,0,bank,1,existing loans paid back duly till now,1
75,1641977,66,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,d68dc0bc-edad-11ea-890a-19d1f9df60f0,12,used vehicle,1526000,4,car or other,0,0,bank,2,critical/pending loans at other banks,0
76,1649753,34,male,single,1,own,3,skilled employee / official,0 year,1 year,1,Low,d68dc13e-edad-11ea-934f-24bfb9db2c02,42,electronic equipment,3965000,4,car or other,0,0,bank,1,existing loans paid back duly till now,1
77,1149571,51,male,single,1,own,4,skilled employee / official,4 years,7 years,1,Low,d68dc1ca-edad-11ea-9b81-213a71e38303,11,electronic equipment,4771000,2,building society savings agreement/life insurance,0,0,bank,1,delay in paying off loans in the past,0
78,1691240,39,male,single,2,own,2,unskilled - resident,1 year,4 years,1,Low,d68dc256-edad-11ea-98c3-17399d993dcd,54,used vehicle,9436000,2,building society savings agreement/life insurance,0,0,bank,1,no loans taken/all loans paid back duly,0
79,1838961,22,male,divorced,1,own,1,skilled employee / official,0 year,1 year,1,Low,d68dc2d8-edad-11ea-86ce-2d345d26e102,30,FF&E,3832000,2,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
80,1403464,44,female,divorced,1,own,1,skilled employee / official,0 year,1 year,1,Low,d68dc364-edad-11ea-a3df-130f4e9c102f,24,electronic equipment,5943000,1,car or other,0,0,bank,2,existing loans paid back duly till now,1
81,1646022,47,male,single,1,own,3,skilled employee / official,7 years,4 years,1,High,d68dc3f0-edad-11ea-a517-0365bf01b3bb,15,electronic equipment,1213000,4,building society savings agreement/life insurance,0,0,stores,1,existing loans paid back duly till now,0
82,1106801,24,female,divorced,1,rent,4,unskilled - resident,1 year,4 years,1,Medium,d68dc472-edad-11ea-b563-15c425a7c161,18,business,1568000,3,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
83,1616296,58,female,divorced,1,own,4,unskilled - resident,7 years,4 years,1,Low,d68dc4fe-edad-11ea-8640-2a243f19dfa1,24,electronic equipment,1755000,4,real estate,0,1,bank,1,existing loans paid back duly till now,0
84,1238277,52,male,single,1,own,4,unskilled - resident,7 years,4 years,1,Low,d68dc580-edad-11ea-82fe-49573323bbb2,10,electronic equipment,2315000,3,real estate,0,0,bank,1,existing loans paid back duly till now,0
85,1175457,29,female,divorced,1,own,2,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,d68dc60c-edad-11ea-b67a-4da15fd806e6,12,business,1412000,4,real estate,0,1,bank,2,critical/pending loans at other banks,0
86,1576577,27,female,divorced,1,own,1,skilled employee / official,0 year,1 year,1,Low,d68dc698-edad-11ea-abf5-1f5e28a63773,18,FF&E,1295000,4,building society savings agreement/life insurance,0,0,bank,2,critical/pending loans at other banks,0
87,1586725,47,male,single,2,own,4,skilled employee / official,1 year,4 years,1,Medium,d68dc71a-edad-11ea-a8fb-0434a8116a43,36,education,12612000,1,car or other,0,0,bank,1,existing loans paid back duly till now,1
88,1660853,30,male,single,2,own,3,management / self-employed / highly qualified employee / officer,4 years,7 years,1,Medium,d68dc7a6-edad-11ea-9828-03b8fce3f80e,18,new vehicle,2249000,4,car or other,0,0,bank,1,existing loans paid back duly till now,0
89,1132472,28,male,single,1,own,3,skilled employee / official,4 years,7 years,1,Low,d68dc83c-edad-11ea-b3c3-3b4b4a5238f9,12,repair costs,1108000,4,real estate,0,0,bank,2,no loans taken/all loans paid back duly,1
90,1368120,56,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,d68dc8c8-edad-11ea-99f9-135529eafd46,12,electronic equipment,618000,4,real estate,0,0,bank,1,critical/pending loans at other banks,0
91,1403185,54,male,single,1,own,3,skilled employee / official,7 years,4 years,1,Low,d68dc94a-edad-11ea-af9c-3a9375ebdaf3,12,used vehicle,1409000,4,real estate,0,0,bank,1,critical/pending loans at other banks,0
92,1601892,33,female,divorced,2,own,3,unskilled - resident,7 years,4 years,1,Low,d68dc9d6-edad-11ea-bbbb-3e6f9ad604b6,12,electronic equipment,797000,4,building society savings agreement/life insurance,0,0,bank,1,critical/pending loans at other banks,1
93,1220273,20,male,single,1,rent,4,skilled employee / official,7 years,4 years,1,Low,d68dca62-edad-11ea-9d83-414eeb11e188,24,FF&E,3617000,4,car or other,1,0,bank,2,critical/pending loans at other banks,0
94,1713632,54,male,single,1,own,4,skilled employee / official,7 years,4 years,1,High,d68dcae4-edad-11ea-bd63-0f82516e8c9a,12,new vehicle,1318000,4,real estate,0,0,bank,1,existing loans paid back duly till now,0
95,1416025,58,male,single,1,rent,4,skilled employee / official,0 year,1 year,1,Low,d68dcb70-edad-11ea-af3c-1c3e47ff3483,54,business,15945000,3,car or other,0,0,bank,1,no loans taken/all loans paid back duly,1
96,1610826,61,female,divorced,1,own,2,skilled employee / official,4 years,7 years,1,Low,d68dcbfc-edad-11ea-ad44-06ed8ffa90db,12,education,2012000,4,car or other,0,0,bank,1,critical/pending loans at other banks,0
97,1887006,34,male,single,1,own,4,skilled employee / official,1 year,4 years,1,Medium,d68dcc7e-edad-11ea-8d12-1be74a638595,18,business,2622000,4,car or other,0,0,bank,1,existing loans paid back duly till now,0
98,1570732,36,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,d68dcd0a-edad-11ea-bfbe-0b1c5232ef5b,36,electronic equipment,2337000,4,real estate,0,0,bank,1,critical/pending loans at other banks,0
99,1617889,36,male,single,2,rent,4,management / self-employed / highly qualified employee / officer,4 years,7 years,1,Low,d68dcd96-edad-11ea-a24d-4b151f9c2834,20,used vehicle,7057000,3,building society savings agreement/life insurance,0,0,bank,2,delay in paying off loans in the past,0
100,1318902,41,male,divorced,1,rent,4,unskilled - resident,7 years,4 years,1,Medium,d68dce18-edad-11ea-b9aa-2ee09b4ac777,24,new vehicle,1469000,4,real estate,0,0,bank,1,existing loans paid back duly till now,0
101,1466716,24,male,single,1,rent,4,skilled employee / official,4 years,7 years,1,Low,d68dcea4-edad-11ea-bb1a-384a200d31e4,36,electronic equipment,2323000,4,car or other,0,0,bank,1,existing loans paid back duly till now,0
102,1621669,24,female,divorced,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68dcf26-edad-11ea-a3d9-30aa54f568e3,6,electronic equipment,932000,3,real estate,0,0,bank,1,delay in paying off loans in the past,0
103,1901818,35,male,single,1,rent,3,skilled employee / official,4 years,7 years,1,Low,d68dcfb2-edad-11ea-9760-3d64dda512ad,9,FF&E,1919000,4,car or other,0,0,bank,1,critical/pending loans at other banks,0
104,1114473,26,male,divorced,1,rent,4,skilled employee / official,0 year,1 year,1,Low,d68dd03e-edad-11ea-beb0-18bb6a01d5af,12,used vehicle,2445000,2,car or other,0,0,bank,1,existing loans paid back duly till now,0
105,1514853,39,male,single,2,own,3,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,d68dd0c0-edad-11ea-a548-3f53dbbe0a19,24,electronic equipment,11938000,2,car or other,1,0,bank,2,critical/pending loans at other banks,1
106,1645589,39,male,single,2,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,d68dd14c-edad-11ea-9e7c-0fab01ac5e54,18,new vehicle,6458000,2,car or other,0,0,bank,2,all loans at this bank paid back duly,1
107,1504772,32,male,single,1,own,2,skilled employee / official,4 years,7 years,1,Low,d68dd1d8-edad-11ea-8c4b-3562d606fa2d,12,new vehicle,6078000,2,car or other,0,0,bank,1,existing loans paid back duly till now,0
108,1698579,30,female,divorced,1,own,2,skilled employee / official,0 year,1 year,0,Low,d68dd264-edad-11ea-ac9b-1a83e5ec58f0,24,FF&E,7721000,1,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
109,1754975,35,male,divorced,1,own,2,skilled employee / official,7 years,4 years,1,High,d68dd2f0-edad-11ea-86cb-0e7e6f9f44d9,14,business,1410000,1,real estate,0,0,bank,1,existing loans paid back duly till now,0
110,1222155,31,male,divorced,2,own,2,skilled employee / official,7 years,4 years,1,Medium,d68dd372-edad-11ea-8217-088829cf1406,6,business,1449000,1,car or other,0,0,bank,2,delay in paying off loans in the past,0
111,1719636,23,female,divorced,1,rent,4,skilled employee / official,0 year,1 year,1,Low,d68dd3fe-edad-11ea-85d9-0801dba76242,15,education,392000,4,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
112,1323966,28,male,single,1,rent,3,unskilled - resident,4 years,7 years,1,Low,d68dd48a-edad-11ea-8b02-590b91e669a9,18,new vehicle,6260000,3,real estate,0,0,bank,1,existing loans paid back duly till now,0
113,1683052,25,female,divorced,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68dd50c-edad-11ea-bc3c-41c0d26b4bdb,36,new vehicle,7855000,4,real estate,0,0,stores,2,critical/pending loans at other banks,1
114,1405004,35,male,divorced,1,own,1,skilled employee / official,7 years,4 years,1,High,d68dd598-edad-11ea-962f-4f70b120fd05,12,electronic equipment,1680000,3,real estate,0,0,bank,1,existing loans paid back duly till now,0
115,1848791,47,male,single,1,own,1,skilled employee / official,7 years,4 years,1,Low,d68dd61a-edad-11ea-9a03-0c03b1c8f7ee,48,electronic equipment,3578000,4,real estate,0,0,bank,1,critical/pending loans at other banks,0
116,1229152,30,female,divorced,1,own,3,management / self-employed / highly qualified employee / officer,4 years,7 years,1,Low,d68dd6a6-edad-11ea-a317-531d4d08ee0e,42,electronic equipment,7174000,4,car or other,0,0,bank,1,existing loans paid back duly till now,1
117,1206049,27,female,divorced,1,rent,3,skilled employee / official,0 year,1 year,0,Low,d68dd732-edad-11ea-a8a4-28c83b513f8f,10,FF&E,2132000,2,real estate,1,0,bank,2,critical/pending loans at other banks,0
118,1651983,23,female,divorced,1,own,4,skilled employee / official,1 year,4 years,1,High,d68dd7b4-edad-11ea-b52e-2b8ed7488c0b,33,FF&E,4281000,1,car or other,0,0,bank,2,critical/pending loans at other banks,1
119,1357789,36,male,divorced,1,own,3,management / self-employed / highly qualified employee / officer,4 years,7 years,1,High,d68dd840-edad-11ea-bc24-1cbb1240abb6,12,new vehicle,2366000,3,car or other,0,0,bank,1,critical/pending loans at other banks,0
120,1506336,25,female,divorced,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68dd8c2-edad-11ea-8325-48f5964f39e5,21,electronic equipment,1835000,3,real estate,0,0,bank,2,existing loans paid back duly till now,1
121,1171493,41,female,divorced,1,rent,2,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,d68dd94e-edad-11ea-9088-5845d419df53,24,used vehicle,3868000,4,car or other,0,0,bank,2,critical/pending loans at other banks,0
